מלך,פרש,3
מעיל,שלג,3
כובע,ים,2
מלח,פלפל,1
יהלום,תלתן,2
תות,בננה,1
מנורה,שמן,2
אוזניות,משקפיים,1
פרח,דבורה,1
נס,קפה,1
נעליים,ריצה,2
בוקר,שעון,3
ענן,מטוס,3
אופניים,מירוץ,2
עשן,אונייה,2
מזרח,זריחה,1
תיתול,בקבוק,2
מבחן,שיעור,1
אלבום,מצלמה,2
ספר,גיבור,3
מכחול,ציור,1
חותמת,טופס,2
צניחה,מטוס,2
טלפון,סוללה,1
ספרייה,שקט,2
גינה,השקייה,2
ים,אופק,3
מוזיקה,רגש,3
ספר,דמיון,3
אש,חום,1
שמש,אור,1
קפה,אנרגיה,3
גוונים,קשת,2
נר,להבה,1
גלידה,גביע,2
חוף,חול,1
עפיפון,רוח,2
ירח,גאות,2
מצלמה,זכרון,2
חגיגה,עוגה,1
הר,טיפוס,2
אוקיינוס,גלים,2
גיטרה,מוזיקה,1
עץ,צל,3
מפתח,מנעול,1
לילה,ירח,1
מצפן,כיוון,2
אהבה,לב,1
דג,שחייה,3
יהלום,תכשיט,2
רדיו,גל,3
מקלדת,מילה,3
תפוח,עוגה,2
עלה,סתיו,3
ברק,סערה,2
כרית,שינה,3
מלכה,טירה,2
שייט,רוח,3
מספריים,סכין,2
ספינה,עוגן,3
שלג,חורף,2
כוכב,שמיים,1
תה,ספל,1
רכבת,פחם,3
רשת,עכביש,3
דלת,ידית,1
דגל,מדינה,2
מעיין,בריכה,1
מגדלור,רציף,3
מפה,אוצר,1
כדור,סיבוב,3
קצב,ריקוד,2
ספורט,קבוצה,3
דלק,טנק,3
כרית,נוצה,2
עוגיות,חמאה,2
מנוע,מכונית,1
צעצוע,משחק,1
אחות,משפחה,1
צינור,משפך,3
עלילה,סיום,3
דגנים,בוקר,2
סולייה,גרב,2
גשם,שלולית,1
קסדה,חגורה,2
מברשת,קיסם,2
משקפיים,שמש,1
אוהל,מדורה,2
בוץ,ג׳יפ,3
איזון,משקל,3
ניסוי,מדע,2
חג,שולחן,3
מנגינה,תזמורת,2
כינור,מיתר,1
משלוח,פיצה,2
משורר,במאי,3
מים,שמן,2
פרח,עציץ,1
מרתון,ריצה,3
דלי,סמרטוט,2
טוסט,בורקס,1
מטרייה,צעיף,1
כלב,עצם,1
לימון,נענע,1
שליח,מכתב,1
מדענית,פרופסור,3
צדפה,אלמוג,3
משבצת,שורה,3
שעון,שמש,2
גן,בית,1
אוזן,פיל,2
נייר,אבן,3
תריס,וילון,1
פיצה,תנור,2
קן,דיר,2
זמן,תהליך,3
ריפוד,מזרון,2
לחם,עבודה,3
שביל,אופניים,2
בועה,ברז,2
סולם,נורה,3
מברשת,שיער,1
רגל,כיסא,2
רווח,השקעה,3
צדק,שוויון,1
אמת,כנות,1
אי,שפיות,3
טבח,בצק,2
שלולית,באר,1
חכם,תורה,2
נמלה,חרוץ,3
סוף,טוב,1
קמח,טופי,3
אחים,שבט,3
פטיש,סוכה,2
ראש,עיר,1
שחור,זהב,2
ארץ,דרך,3
ירושלים,זהב,2
כובע,קוסם,2
שמן,נס,2
דג,נחש,1
שבר,כלי,2
דלי,קשת,1
סלע,אדום,2
רעל,תפוח,2
מקור,חדק,2
גנב,שוטר,1
כדורגל,דשא,3
דוד,משה,2
מורה,ספר,1
שכל,דאגה,3
גיגית,כביסה,2
קילשון,חציר,2
תבואה,אסם,2
קוף,מחט,2
שפן,כובע,3
פעמון,פרה,3
תות,קצפת,1
גיל,תרגיל,3
מכשפה,מטאטא,2
תיק,איפור,3
מחשבון,מבחן,3
חידק,חום,3
גלגל,ענק,2
משרד,קבלה,3
שעון,קיר,2
מסמר,ערב,2
מזוודה,מטוס,1
משפט,חוק,2
אוויר,גלגל,3
הפגנה,תוף,3
תקרה,זכוכית,3
מתנה,קופסה,1
נר,נשמה,3
צב,בית,3
צו,שעה,3
לוט,ערפל,1
מסיבה,ריקוד,2
אח,אש,2
פרפר,בטן,3
בת,ים,1
כפר,סבא,1
יונה,זית,1
עיר,בירה,2
רופא,משפחה,2
מבול,קשת,2
עיתון,רדיו,2
עמוד,חשמל,2
כלב,ים,1
עכבר,עיר,2
גשר,נחל,2
דירה,שכנה,2
עז,מתוק,3
קציר,אביב,2
חשבון,בנק,1
משקפיים,אף,2
סיבוב,פרסה,3
אביר,סוס,1
שיר,מגירה,3
חטיף,אנרגיה,2
בלש,משטרה,1
זיוף,מקור,3
יומן,יקר,3
אישור,חותמת,3
קרן,יער,2
לילה,חלום,1
מטבע,מזרקה,3
עניבה,צוואר,2
מונית,תחנה,1
מסך,עשן,2
שוק,דוכן,2
נמל,מכולה,2
כיסא,חשמל,2
שומר,שער,3
עוגייה,מזל,3
טלה,דלי,3
לבנה,חומה,1
טיל,חלל,1
מלצר,חשבון,3
רובוט,אבק,3
בלט,ברבור,3
אופנוע,משלוח,3